gameweek,home_team,away_team,home_score,away_score,finished
1,Arsenal,Coventry,3,0,True
1,Brentford,Spurs,3,0,True
1,Brighton,Aston Villa,4,0,True
1,Everton,Crystal Palace,2,0,True
1,Fulham,Chelsea,2,3,True
1,Hull,Man Utd,2,0,True
1,Ipswich,Sunderland,2,1,True
1,Man City,Bournemouth,2,1,True
1,Newcastle,Liverpool,2,2,True
1,Nott'm Forest,Leeds,0,1,True
2,Aston Villa,Arsenal,0,1,True
2,Bournemouth,Everton,1,1,True
2,Chelsea,Brighton,4,3,True
2,Coventry,Hull,0,1,True
2,Crystal Palace,Man City,1,4,True
2,Leeds,Brentford,1,1,True
2,Liverpool,Nott'm Forest,2,2,True
2,Man Utd,Ipswich,5,2,True
2,Spurs,Newcastle,0,2,True
2,Sunderland,Fulham,1,0,True
3,Arsenal,Chelsea,2,1,True
3,Brentford,Sunderland,1,1,True
3,Brighton,Leeds,1,1,True
3,Everton,Man Utd,2,2,True
3,Fulham,Crystal Palace,2,3,True
3,Hull,Aston Villa,0,0,True
3,Ipswich,Liverpool,0,2,True
3,Man City,Coventry,1,0,True
3,Newcastle,Bournemouth,2,2,True
3,Nott'm Forest,Spurs,0,0,True
4,Aston Villa,Nott'm Forest,1,2,True
4,Bournemouth,Brentford,2,2,True
4,Chelsea,Hull,2,2,True
4,Coventry,Brighton,0,5,True
4,Crystal Palace,Ipswich,2,3,True
4,Leeds,Newcastle,4,1,True
4,Liverpool,Fulham,0,0,True
4,Man Utd,Man City,0,1,True
4,Spurs,Everton,0,0,True
4,Sunderland,Arsenal,0,2,True
5,Bournemouth,Liverpool,,,False
5,Brentford,Chelsea,3,0,False
5,Brighton,Arsenal,,,False
5,Everton,Ipswich,,,False
5,Fulham,Man Utd,,,False
5,Leeds,Crystal Palace,,,False
5,Man City,Sunderland,,,False
5,Newcastle,Hull,,,False
5,Nott'm Forest,Coventry,,,False
5,Spurs,Aston Villa,0,0,False
6,Arsenal,Leeds,,,False
6,Aston Villa,Brentford,,,False
6,Chelsea,Bournemouth,,,False
6,Coventry,Newcastle,,,False
6,Crystal Palace,Nott'm Forest,,,False
6,Hull,Everton,,,False
6,Ipswich,Fulham,,,False
6,Liverpool,Man City,,,False
6,Man Utd,Spurs,,,False
6,Sunderland,Brighton,,,False
7,Bournemouth,Sunderland,,,False
7,Brentford,Liverpool,,,False
7,Brighton,Crystal Palace,,,False
7,Everton,Chelsea,,,False
7,Fulham,Hull,,,False
7,Leeds,Man Utd,,,False
7,Man City,Ipswich,,,False
7,Newcastle,Aston Villa,,,False
7,Nott'm Forest,Arsenal,,,False
7,Spurs,Coventry,,,False
8,Arsenal,Everton,,,False
8,Aston Villa,Man City,,,False
8,Chelsea,Spurs,,,False
8,Coventry,Fulham,,,False
8,Crystal Palace,Newcastle,,,False
8,Hull,Brentford,,,False
8,Ipswich,Nott'm Forest,,,False
8,Liverpool,Brighton,,,False
8,Man Utd,Bournemouth,,,False
8,Sunderland,Leeds,,,False
9,Aston Villa,Fulham,,,False
9,Bournemouth,Leeds,,,False
9,Brentford,Nott'm Forest,,,False
9,Chelsea,Man Utd,,,False
9,Coventry,Sunderland,,,False
9,Hull,Ipswich,,,False
9,Liverpool,Arsenal,,,False
9,Man City,Brighton,,,False
