team,position,points,played,goal_difference,goals_for
Arsenal,1,80,38,41,67
Man City,2,76,38,39,74
Man Utd,3,69,38,18,66
Bournemouth,4,61,38,6,57
Aston Villa,5,60,38,5,53
Brighton,6,59,38,9,51
Liverpool,7,59,38,8,61
Chelsea,8,53,38,6,57
Brentford,9,53,38,4,53
Fulham,10,53,38,-5,43
Sunderland,11,52,38,-8,38
Newcastle,12,50,38,0,53
Everton,13,49,38,-4,45
Leeds,14,47,38,-7,48
Nott'm Forest,15,46,38,-1,47
Crystal Palace,16,46,38,-9,40
Spurs,17,40,38,-10,47
West Ham,18,40,38,-18,44
Wolves,19,22,38,-38,26
Burnley,20,20,38,-36,35
