window,model,actual,predicted,count
headline_holdout_gw20_38,always_home,H,H,76
headline_holdout_gw20_38,always_home,H,D,0
headline_holdout_gw20_38,always_home,H,A,0
headline_holdout_gw20_38,always_home,D,H,57
headline_holdout_gw20_38,always_home,D,D,0
headline_holdout_gw20_38,always_home,D,A,0
headline_holdout_gw20_38,always_home,A,H,57
headline_holdout_gw20_38,always_home,A,D,0
headline_holdout_gw20_38,always_home,A,A,0
headline_holdout_gw20_38,elo_default,H,H,63
headline_holdout_gw20_38,elo_default,H,D,0
headline_holdout_gw20_38,elo_default,H,A,13
headline_holdout_gw20_38,elo_default,D,H,36
headline_holdout_gw20_38,elo_default,D,D,0
headline_holdout_gw20_38,elo_default,D,A,21
headline_holdout_gw20_38,elo_default,A,H,33
headline_holdout_gw20_38,elo_default,A,D,0
headline_holdout_gw20_38,elo_default,A,A,24
headline_holdout_gw20_38,league_frequency,H,H,76
headline_holdout_gw20_38,league_frequency,H,D,0
headline_holdout_gw20_38,league_frequency,H,A,0
headline_holdout_gw20_38,league_frequency,D,H,57
headline_holdout_gw20_38,league_frequency,D,D,0
headline_holdout_gw20_38,league_frequency,D,A,0
headline_holdout_gw20_38,league_frequency,A,H,57
headline_holdout_gw20_38,league_frequency,A,D,0
headline_holdout_gw20_38,league_frequency,A,A,0
