model,gameweek,predictions,correct,accuracy
always_home,1,10,5,0.5
always_home,2,10,6,0.6
always_home,3,10,4,0.4
always_home,4,10,4,0.4
always_home,5,10,4,0.4
always_home,6,10,4,0.4
always_home,7,10,7,0.7
always_home,8,10,4,0.4
always_home,9,10,7,0.7
always_home,10,10,6,0.6
always_home,11,10,7,0.7
always_home,12,10,4,0.4
always_home,13,10,4,0.4
always_home,14,10,2,0.2
always_home,15,10,5,0.5
always_home,16,10,3,0.3
always_home,17,10,4,0.4
always_home,18,10,3,0.3
always_home,19,10,1,0.1
always_home,20,10,4,0.4
always_home,21,10,4,0.4
always_home,22,10,4,0.4
always_home,23,10,4,0.4
always_home,24,10,4,0.4
always_home,25,10,3,0.3
always_home,26,11,1,0.09090909090909091
always_home,27,10,2,0.2
always_home,28,10,6,0.6
always_home,29,10,3,0.3
always_home,30,10,2,0.2
always_home,31,8,5,0.625
always_home,32,10,5,0.5
always_home,33,13,6,0.46153846153846156
always_home,34,7,5,0.7142857142857143
always_home,35,10,6,0.6
always_home,36,11,3,0.2727272727272727
always_home,37,10,6,0.6
always_home,38,10,3,0.3
elo_default,1,10,7,0.7
elo_default,2,10,8,0.8
elo_default,3,10,3,0.3
elo_default,4,10,5,0.5
elo_default,5,10,4,0.4
elo_default,6,10,3,0.3
elo_default,7,10,8,0.8
elo_default,8,10,7,0.7
elo_default,9,10,5,0.5
elo_default,10,10,7,0.7
elo_default,11,10,7,0.7
elo_default,12,10,6,0.6
elo_default,13,10,5,0.5
elo_default,14,10,3,0.3
elo_default,15,10,5,0.5
elo_default,16,10,4,0.4
elo_default,17,10,6,0.6
elo_default,18,10,4,0.4
elo_default,19,10,2,0.2
elo_default,20,10,4,0.4
elo_default,21,10,6,0.6
elo_default,22,10,2,0.2
elo_default,23,10,3,0.3
elo_default,24,10,6,0.6
elo_default,25,10,4,0.4
elo_default,26,11,3,0.2727272727272727
elo_default,27,10,4,0.4
elo_default,28,10,7,0.7
elo_default,29,10,4,0.4
elo_default,30,10,3,0.3
elo_default,31,8,5,0.625
elo_default,32,10,6,0.6
elo_default,33,13,8,0.6153846153846154
elo_default,34,7,5,0.7142857142857143
elo_default,35,10,5,0.5
elo_default,36,11,5,0.45454545454545453
elo_default,37,10,4,0.4
elo_default,38,10,3,0.3
league_frequency,1,10,5,0.5
league_frequency,2,10,6,0.6
league_frequency,3,10,4,0.4
league_frequency,4,10,4,0.4
league_frequency,5,10,4,0.4
league_frequency,6,10,4,0.4
league_frequency,7,10,7,0.7
league_frequency,8,10,4,0.4
league_frequency,9,10,7,0.7
league_frequency,10,10,6,0.6
league_frequency,11,10,7,0.7
league_frequency,12,10,4,0.4
league_frequency,13,10,4,0.4
league_frequency,14,10,2,0.2
league_frequency,15,10,5,0.5
league_frequency,16,10,3,0.3
league_frequency,17,10,4,0.4
league_frequency,18,10,3,0.3
league_frequency,19,10,1,0.1
league_frequency,20,10,4,0.4
league_frequency,21,10,4,0.4
league_frequency,22,10,4,0.4
league_frequency,23,10,4,0.4
league_frequency,24,10,4,0.4
league_frequency,25,10,3,0.3
league_frequency,26,11,1,0.09090909090909091
league_frequency,27,10,2,0.2
league_frequency,28,10,6,0.6
league_frequency,29,10,3,0.3
league_frequency,30,10,2,0.2
league_frequency,31,8,5,0.625
league_frequency,32,10,5,0.5
league_frequency,33,13,6,0.46153846153846156
league_frequency,34,7,5,0.7142857142857143
league_frequency,35,10,6,0.6
league_frequency,36,11,3,0.2727272727272727
league_frequency,37,10,6,0.6
league_frequency,38,10,3,0.3
